"date.pretty","date.year","date.mon","date.mday","date.hour","date.min","date.tzname","utcdate.pretty","utcdate.year","utcdate.mon","utcdate.mday","utcdate.hour","utcdate.min","utcdate.tzname","tempm","tempi","dewptm","dewpti","hum","wspdm","wspdi","wgustm","wgusti","wdird","wdire","vism","visi","pressurem","pressurei","windchillm","windchilli","heatindexm","heatindexi","precipm","precipi","conds","icon","fog","rain","snow","hail","thunder","tornado","metar"
"9:30 AM EET on March 01, 2016","2016","03","01","09","30","Europe/Kiev","7:30 AM GMT on March 01, 2016","2016","03","01","07","30","UTC","5.0","41.0","5.0","41.0","100","18.0","11.2","36.0","22.4","110","ESE","-9999.0","-9999.0","1012","29.89","1.3","34.4","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 010730Z 11005G10MPS 080V140 4800 -RA BR BKN002 OVC007 05/05 Q1012 R08/290350 TEMPO BKN001"
"10:00 AM EET on March 01, 2016","2016","03","01","10","00","Europe/Kiev","8:00 AM GMT on March 01, 2016","2016","03","01","08","00","UTC","5.0","41.0","5.0","41.0","100","18.0","11.2","-9999.0","-9999.0","120","ESE","1.7","1.1","1012","29.89","1.3","34.4","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 010800Z 12005MPS 1700 BR OVC001 05/05 Q1012 R08/290350 TEMPO 0400 FG BKN001"
"10:30 AM EET on March 01, 2016","2016","03","01","10","30","Europe/Kiev","8:30 AM GMT on March 01, 2016","2016","03","01","08","30","UTC","5.0","41.0","5.0","41.0","100","18.0","11.2","-9999.0","-9999.0","130","SE","1.6","1.0","1012","29.89","1.3","34.4","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 010830Z 13005MPS 1600 BR OVC001 05/05 Q1012 R08/290250 TEMPO 0400 FG"
"11:00 AM EET on March 01, 2016","2016","03","01","11","00","Europe/Kiev","9:00 AM GMT on March 01, 2016","2016","03","01","09","00","UTC","5","40","5","40","100","14.4","8.9","","","150","SSE","0.5","0","1013","29.91","-999","-999","-9999","-9999","","","Heavy Fog","fog","1","0","0","0","0","0","AAXX 01091 33345 41/93 91504 10047 20047 39922 40127 57033 74564 555 11005"
"11:00 AM EET on March 01, 2016","2016","03","01","11","00","Europe/Kiev","9:00 AM GMT on March 01, 2016","2016","03","01","09","00","UTC","5.0","41.0","5.0","41.0","100","18.0","11.2","-9999.0","-9999.0","130","SE","1.5","0.9","1011","29.86","1.3","34.4","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 010900Z 13005MPS 1500 BR OVC001 05/05 Q1011 R08/290250 TEMPO 0400 FG"
"11:30 AM EET on March 01, 2016","2016","03","01","11","30","Europe/Kiev","9:30 AM GMT on March 01, 2016","2016","03","01","09","30","UTC","5.0","41.0","5.0","41.0","100","21.6","13.4","-9999.0","-9999.0","130","SE","1.4","0.9","1011","29.86","0.9","33.6","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 010930Z 13006MPS 110V190 1400 R08/P2000D -RA BR BKN002 OVC007 05/05 Q1011 R08/290250 TEMPO 0400 FG"
"12:00 PM EET on March 01, 2016","2016","03","01","12","00","Europe/Kiev","10:00 AM GMT on March 01, 2016","2016","03","01","10","00","UTC","5.0","41.0","5.0","41.0","100","18.0","11.2","-9999.0","-9999.0","140","SE","1.8","1.1","1010","29.83","1.3","34.4","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 011000Z 14005MPS 110V180 1800 BR OVC002 05/05 Q1010 R08/290253 TEMPO 1200 BR"
"12:30 PM EET on March 01, 2016","2016","03","01","12","30","Europe/Kiev","10:30 AM GMT on March 01, 2016","2016","03","01","10","30","UTC","5.0","41.0","5.0","41.0","100","14.4","8.9","-9999.0","-9999.0","130","SE","2.5","1.6","1010","29.83","1.9","35.4","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 011030Z 13004MPS 080V170 2500 BR OVC002 05/05 Q1010 R08/290253 NOSIG"
"1:00 PM EET on March 01, 2016","2016","03","01","13","00","Europe/Kiev","11:00 AM GMT on March 01, 2016","2016","03","01","11","00","UTC","6.0","42.8","6.0","42.8","100","14.4","8.9","-9999.0","-9999.0","140","SE","2.8","1.7","1009","29.80","3.1","37.6","-9999","-9999","-9999.00","-9999.00","Light Rain Showers","rain","0","1","0","0","0","0","METAR UKKK 011100Z 14004MPS 100V200 2800 -SHRA BR BKN004 BKN023CB 06/06 Q1009 R08/290253 NOSIG"
"1:30 PM EET on March 01, 2016","2016","03","01","13","30","Europe/Kiev","11:30 AM GMT on March 01, 2016","2016","03","01","11","30","UTC","6.0","42.8","6.0","42.8","100","18.0","11.2","-9999.0","-9999.0","130","SE","2.6","1.6","1009","29.80","2.6","36.7","-9999","-9999","-9999.00","-9999.00","Light Rain Showers","rain","0","1","0","0","0","0","METAR UKKK 011130Z 13005MPS 100V160 2600 -SHRA BR BKN002 BKN023CB 06/06 Q1009 R08/290253 NOSIG"
"2:00 PM EET on March 01, 2016","2016","03","01","14","00","Europe/Kiev","12:00 PM GMT on March 01, 2016","2016","03","01","12","00","UTC","6","42","6","42","100","10.8","6.7","","","150","SSE","0.5","0","1010","29.81","-999","-999","-9999","-9999","","","Heavy Fog","fog","1","0","0","0","0","0","AAXX 01121 33345 /1/93 91503 10057 20057 39891 40095 57031 74564 555 11006 60041"
"2:00 PM EET on March 01, 2016","2016","03","01","14","00","Europe/Kiev","12:00 PM GMT on March 01, 2016","2016","03","01","12","00","UTC","6.0","42.8","6.0","42.8","100","14.4","8.9","-9999.0","-9999.0","120","ESE","2.0","1.2","1008","29.77","3.1","37.6","-9999","-9999","-9999.00","-9999.00","Overcast","cloudy","0","0","0","0","0","0","METAR UKKK 011200Z 12004MPS 2000 BR OVC002 06/06 Q1008 R08/290253 TEMPO 1000 BR BKN001"
"2:30 PM EET on March 01, 2016","2016","03","01","14","30","Europe/Kiev","12:30 PM GMT on March 01, 2016","2016","03","01","12","30","UTC","6.0","42.8","6.0","42.8","100","14.4","8.9","-9999.0","-9999.0","120","ESE","2.2","1.4","1007","29.74","3.1","37.6","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 011230Z 12004MPS 2200 -RA BR BKN003 OVC008 06/06 Q1007 R08/290253 TEMPO 1000 BR BKN001"
"3:00 PM EET on March 01, 2016","2016","03","01","15","00","Europe/Kiev","1:00 PM GMT on March 01, 2016","2016","03","01","13","00","UTC","6.0","42.8","6.0","42.8","100","18.0","11.2","-9999.0","-9999.0","130","SE","2.5","1.6","1007","29.74","2.6","36.7","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 011300Z 13005MPS 100V160 2500 -RA BR BKN003 OVC010 06/06 Q1007 R08/290253 TEMPO 2000 BR BKN002"
"3:30 PM EET on March 01, 2016","2016","03","01","15","30","Europe/Kiev","1:30 PM GMT on March 01, 2016","2016","03","01","13","30","UTC","7.0","44.6","6.0","42.8","93","21.6","13.4","-9999.0","-9999.0","130","SE","-9999.0","-9999.0","1007","29.74","3.4","38.2","-9999","-9999","-9999.00","-9999.00","Light Rain","rain","0","1","0","0","0","0","METAR UKKK 011330Z 13006MPS 3100 -RA BR BKN003 OVC010 07/06 Q1007 R08/290253 TEMPO 2000 BR BKN002"
